Patent_Code,Patent_Number,Patent_ID,Status,Classes,Title,Organization
EP,2022-166225,4047983,Neúčinný EP od počátku,"H04W28/06, H04W74/00, H04W84/12","EN: WIRELESS COMMUNICATION METHOD USING TRIGGER INFORMATION, AND WIRELESS COMMUNICATOIN TERMINAL USING SAME","Wilus Institute of Standards and Technology Inc., Seongnam-si, Gyeonggi-do 13595, Korejská republikaSK TELECOM CO. LTD, Seoul 04539, Korejská republika"
EP,2022-177686,4163602,Platný dokument,"G01F1/00, E03B7/00, G01D4/00","EN: A DEVICE, METHOD AND SYSTEM FOR MONITORING A NETWORK OF FLUID-CARRYING CONDUITS","IP2IPO Innovations Limited, London EC4N 8AF, Velká Británie"
EP,2022-190161,4110000,Platný dokument,"H04W74/08, H04W84/12",EN: WIRELESS COMMUNICATION METHOD AND WIRELESS COMMUNICATION TERMINAL USING BASIC SERVICE SET IDENTIFICATION INFORMATION DETERMINATION OF RECEIVED FRAME,"Wilus Institute of Standards and Technology Inc., Seongnam-si, Gyeonggi-do 13595, Korejská republikaSK Telecom Co., Ltd., Seoul 04539, Korejská republika"
PV,2023-308,309991,Platný dokument,B01D29/07,CS: Těsný vzduchotechnický filtrEN: A tight air handling filter,"ATREA Group a.s., Jablonec nad Nisou, Rýnovice, Česká republika"
PUV,2023-40915,37068,Platný dokument,"H04L67/12, H04W4/70",CS: Koncové zařízení pro úzkopásmové 5G sítě s univerzálním rozhranímEN: A terminal device for narrowband 5G networks with a universal interface,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika"
PUV,2023-41057,37268,Platný dokument,"F24S25/16, F24S25/63, F24S25/65",CS: Nosná konstrukce pro fotovoltaické panely z geopolymeruEN: A support structure for photovoltaic panels made of geopolymer,"Bc. Aleš Bašta, Český Krumlov, Plešivec, Česká republikaBc. Vít Bašta, Český Krumlov, Plešivec, Česká republikaMiroslav Dvořák, Netolice, Česká republika"
PUV,2023-41208,37353,Platný dokument,B01D29/07,CS: Těsný vzduchotechnický filtrEN: A tight air conditioning filter,"ATREA Group a.s., Jablonec nad Nisou, Rýnovice, Česká republika"
PUV,2023-41439,37477,Platný dokument,"A01B35/30, A01B51/02, A01B69/04",CS: Modulární agrorobotEN: A modular agricultural robot,"BEDNAR FMT s.r.o., Praha 9, Vinoř, Česká republika"
EP,2023-150531,4194367,Platný dokument,"B65G1/04, B65G1/06",EN: SUPPORT VEHICLE FOR PERFORMING SUPPORT OPERATIONS IN AN AUTOMATED STORAGE AND RETRIEVAL SYSTEM,"Autostore Technology AS, 5578 Nedre Vats, Norsko"
PV,2018-661,308078,Zaniklý dokument,"H05B3/84, C03C17/36",CS: Topné bezpečnostní zaskleníEN: Safety heating glazing,"Prokop Vonasek, 3100 St. Pölten, Rakousko"
